Charge equilibration on step 10
  iteration: 38, enegtot 5.59118, enegmax 2.05349, fq deviation: 0.220345
  iteration: 39, enegtot 5.58494, enegmax 2.07428, fq deviation: 0.212251
  iteration: 40, enegtot 5.56912, enegmax 4.44939, fq deviation: 0.239727
  iteration: 41, enegtot 5.55615, enegmax 5.85682, fq deviation: 0.273439
  iteration: 42, enegtot 5.56483, enegmax 5.40077, fq deviation: 0.299615
  iteration: 43, enegtot 5.59664, enegmax 4.12017, fq deviation: 0.304245
  iteration: 44, enegtot 5.63484, enegmax 2.85204, fq deviation: 0.292342
  iteration: 45, enegtot 5.66419, enegmax 2.37975, fq deviation: 0.255158
  iteration: 46, enegtot 5.67854, enegmax 1.6418, fq deviation: 0.231433
  iteration: 47, enegtot 5.67886, enegmax 3.21659, fq deviation: 0.22801
  iteration: 48, enegtot 5.67247, enegmax 4.70508, fq deviation: 0.236593
  iteration: 49, enegtot 5.66893, enegmax 4.70477, fq deviation: 0.212548
  iteration: 50, enegtot 5.67035, enegmax 3.38476, fq deviation: 0.211431
  iteration: 51, enegtot 5.67174, enegmax 1.63197, fq deviation: 0.226236
  iteration: 52, enegtot 5.67023, enegmax 2.0042, fq deviation: 0.221269
  iteration: 53, enegtot 5.66751, enegmax 2.27874, fq deviation: 0.212393
  iteration: 54, enegtot 5.66666, enegmax 2.31871, fq deviation: 0.213421
  iteration: 55, enegtot 5.66943, enegmax 2.0643, fq deviation: 0.225083
  iteration: 56, enegtot 5.67547, enegmax 1.8139, fq deviation: 0.213411
  iteration: 57, enegtot 5.68306, enegmax 1.43041, fq deviation: 0.189685
  iteration: 58, enegtot 5.69032, enegmax 1.11353, fq deviation: 0.184208
  iteration: 59, enegtot 5.69611, enegmax 1.03012, fq deviation: 0.182442
  iteration: 60, enegtot 5.69993, enegmax 0.831543, fq deviation: 0.175818
  iteration: 61, enegtot 5.70157, enegmax 0.822047, fq deviation: 0.153055
  iteration: 62, enegtot 5.7009, enegmax 0.771081, fq deviation: 0.147994
  iteration: 63, enegtot 5.69811, enegmax 1.32881, fq deviation: 0.154345
  iteration: 64, enegtot 5.69406, enegmax 1.93619, fq deviation: 0.155466
  iteration: 65, enegtot 5.69014, enegmax 2.2156, fq deviation: 0.154684
  iteration: 66, enegtot 5.68759, enegmax 2.09761, fq deviation: 0.156013
  iteration: 67, enegtot 5.68676, enegmax 1.92665, fq deviation: 0.158993
  iteration: 68, enegtot 5.6871, enegmax 1.52384, fq deviation: 0.147848
  iteration: 69, enegtot 5.68778, enegmax 1.04543, fq deviation: 0.131971
  iteration: 70, enegtot 5.68816, enegmax 0.86349, fq deviation: 0.117697
  iteration: 71, enegtot 5.6879, enegmax 0.847826, fq deviation: 0.105646
  iteration: 72, enegtot 5.68688, enegmax 0.761042, fq deviation: 0.105227
  iteration: 73, enegtot 5.68516, enegmax 0.567797, fq deviation: 0.108686
  iteration: 74, enegtot 5.68296, enegmax 0.559438, fq deviation: 0.106642
  iteration: 75, enegtot 5.68061, enegmax 0.624829, fq deviation: 0.101634
  iteration: 76, enegtot 5.67845, enegmax 0.695457, fq deviation: 0.101538
  iteration: 77, enegtot 5.67672, enegmax 0.713392, fq deviation: 0.0995791
  iteration: 78, enegtot 5.67554, enegmax 0.679742, fq deviation: 0.0911954
  iteration: 79, enegtot 5.67486, enegmax 0.643871, fq deviation: 0.0839065
  iteration: 80, enegtot 5.67449, enegmax 0.583579, fq deviation: 0.0806141
  iteration: 81, enegtot 5.6742, enegmax 0.510054, fq deviation: 0.0766043
  iteration: 82, enegtot 5.67375, enegmax 0.428879, fq deviation: 0.0703157
  iteration: 83, enegtot 5.67298, enegmax 0.338425, fq deviation: 0.0637323
  iteration: 84, enegtot 5.6718, enegmax 0.32268, fq deviation: 0.0595807
  iteration: 85, enegtot 5.67023, enegmax 0.326926, fq deviation: 0.0605579
  iteration: 86, enegtot 5.66833, enegmax 0.331137, fq deviation: 0.0635744
  iteration: 87, enegtot 5.66619, enegmax 0.331032, fq deviation: 0.0620244
  iteration: 88, enegtot 5.66388, enegmax 0.374822, fq deviation: 0.0564358
  iteration: 89, enegtot 5.66148, enegmax 0.38492, fq deviation: 0.0481863
  iteration: 90, enegtot 5.65908, enegmax 0.347475, fq deviation: 0.0449051
  iteration: 91, enegtot 5.65677, enegmax 0.321906, fq deviation: 0.0459825
  iteration: 92, enegtot 5.65467, enegmax 0.275723, fq deviation: 0.0470796
  iteration: 93, enegtot 5.65285, enegmax 0.220428, fq deviation: 0.0456733
  iteration: 94, enegtot 5.65135, enegmax 0.197907, fq deviation: 0.0398151
  iteration: 95, enegtot 5.65018, enegmax 0.182624, fq deviation: 0.0355128
  iteration: 96, enegtot 5.6493, enegmax 0.190435, fq deviation: 0.0338802
  iteration: 97, enegtot 5.64866, enegmax 0.198954, fq deviation: 0.0335583
  iteration: 98, enegtot 5.64819, enegmax 0.201706, fq deviation: 0.0359749
  iteration: 99, enegtot 5.64783, enegmax 0.196753, fq deviation: 0.0355381
Charges did not converge in 100 iterations
Charge equilibration on step 10
  iteration: 0, enegtot 5.64763, enegmax 0.195784, fq deviation: 0.0355945
  iteration: 1, enegtot 5.64764, enegmax 0.183462, fq deviation: 0.0296142
  iteration: 2, enegtot 5.64764, enegmax 0.160455, fq deviation: 0.0210382
  iteration: 3, enegtot 5.64759, enegmax 0.128867, fq deviation: 0.0194099
  iteration: 4, enegtot 5.64746, enegmax 0.112872, fq deviation: 0.0202598
  iteration: 5, enegtot 5.64724, enegmax 0.113467, fq deviation: 0.0192644
  iteration: 6, enegtot 5.64691, enegmax 0.114474, fq deviation: 0.0179463
  iteration: 7, enegtot 5.64645, enegmax 0.115915, fq deviation: 0.0169308
  iteration: 8, enegtot 5.64586, enegmax 0.117649, fq deviation: 0.0164539
  iteration: 9, enegtot 5.64515, enegmax 0.119459, fq deviation: 0.0166607
  iteration: 10, enegtot 5.64435, enegmax 0.12676, fq deviation: 0.0186361
  iteration: 11, enegtot 5.64347, enegmax 0.128547, fq deviation: 0.0193908
  iteration: 12, enegtot 5.64254, enegmax 0.12474, fq deviation: 0.0185936
  iteration: 13, enegtot 5.64157, enegmax 0.12694, fq deviation: 0.0161531
  iteration: 14, enegtot 5.64057, enegmax 0.129567, fq deviation: 0.012962
  iteration: 15, enegtot 5.63954, enegmax 0.132482, fq deviation: 0.0120349
  iteration: 16, enegtot 5.63849, enegmax 0.13543, fq deviation: 0.0125789
  iteration: 17, enegtot 5.63742, enegmax 0.138252, fq deviation: 0.0128686
  iteration: 18, enegtot 5.63635, enegmax 0.141088, fq deviation: 0.0125555
  iteration: 19, enegtot 5.63528, enegmax 0.144417, fq deviation: 0.0116726
  iteration: 20, enegtot 5.63422, enegmax 0.148863, fq deviation: 0.0116147
  iteration: 21, enegtot 5.63318, enegmax 0.154837, fq deviation: 0.0119593
  iteration: 22, enegtot 5.63215, enegmax 0.162209, fq deviation: 0.0118778
  iteration: 23, enegtot 5.63112, enegmax 0.1702, fq deviation: 0.0109626
  iteration: 24, enegtot 5.63008, enegmax 0.177624, fq deviation: 0.0100831
  iteration: 25, enegtot 5.62901, enegmax 0.183392, fq deviation: 0.00943744
  iteration: 26, enegtot 5.6279, enegmax 0.187055, fq deviation: 0.00903051
  iteration: 27, enegtot 5.62676, enegmax 0.189113, fq deviation: 0.00897174
  iteration: 28, enegtot 5.62557, enegmax 0.190902, fq deviation: 0.00921829
  iteration: 29, enegtot 5.62436, enegmax 0.19408, fq deviation: 0.00935745
  iteration: 30, enegtot 5.62311, enegmax 0.199922, fq deviation: 0.00905769
  iteration: 31, enegtot 5.62183, enegmax 0.208765, fq deviation: 0.0086889
  iteration: 32, enegtot 5.62053, enegmax 0.219839, fq deviation: 0.00842955
  iteration: 33, enegtot 5.61918, enegmax 0.231591, fq deviation: 0.00862352
  iteration: 34, enegtot 5.61779, enegmax 0.242336, fq deviation: 0.00857079
  iteration: 35, enegtot 5.61635, enegmax 0.250948, fq deviation: 0.00828235
  iteration: 36, enegtot 5.61487, enegmax 0.257284, fq deviation: 0.00814495
  iteration: 37, enegtot 5.61334, enegmax 0.26216, fq deviation: 0.0082351
  iteration: 38, enegtot 5.61178, enegmax 0.266928, fq deviation: 0.00827507
